"region","address","latitude","longitude","type","power","service"
"NKDA","Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156","22.579939","88.4531807","DC-001","15 kW","Self Service"
"NKDA","Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156","22.579939","88.4531807","AC-001","10(3.3 kW each)","Self Service"
"NKDA","NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059","22.585303","88.4569056","DC-001","15 kW","Self Service"
"NKDA","NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059","22.585303","88.4569056","AC-001","10(3.3 kW each)","Self Service"
"NKDA","Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135","22.603134","88.4671428","DC-001","15 kW","Self Service"
"NKDA","Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135","22.603134","88.4671428","AC-001","10(3.3 kW each)","Self Service"
"NKDA","Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156","22.5833562","88.4593418","DC-001","15 kW","Self Service"
"NKDA","Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156","22.5833562","88.4593418","AC-001","10(3.3 kW each)","Self Service"
"NKDA","NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160","22.5770971","88.4796319","DC-001","15 kW","Self Service"
"NKDA","NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160","22.5770971","88.4796319","AC-001","10(3.3 kW each)","Self Service"
"NKDA","NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156","22.5796534","88.459843","DC-001","15 kW","Self Service"
"NKDA","NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156","22.5796534","88.459843","AC-001","10(3.3 kW each)","Self Service"
"Noida Authority","Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301","28.5721498","77.3375462","DC-001","15 kW","Self Service"
"Noida Authority","Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India","28.5821195","77.3266991","DC-001","15 kW","Self Service"
"Noida Authority","Sector 15, Nithari, Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India","28.6265817","77.3752161","DC-001","15 kW","Self Service"
"Noida Authority","road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313","28.5481935","77.3221938","DC-001","15 kW","Self Service"
"Noida Authority","Between kirti mann plaza and NMC hospital Sector 30 Noida","28.5727977","77.340531","DC-001","15 kW","Self Service"
"Noida Authority","Sector 142, Noida, Uttar Pradesh, 201305","28.6265817","77.3752161","DC-001","15 kW","Self Service"
"NDMC","Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","28.617783","77.2129959","CCS/ChADEMO/ Type 2 AC","142kW","Self Service"
"NDMC","Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","28.617783","77.2129959","CCS/ChADEMO/ Type 2 AC","142kW","Self Service"
"NDMC","Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003","28.5907109","77.2242844","CCS/ChADEMO/ Type 2 AC","142kW","Self Service"
"NDMC","Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003","28.5907109","77.2242844","CCS/ChADEMO/ Type 2 AC","142kW","Self Service"
"NDMC","Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","28.617783","77.2129959","CCS/ChADEMO/ Type 2 AC","142kW","Self Service"
"NDMC","Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","28.617783","77.2129959","CCS/ChADEMO/ Type 2 AC","142kW","Self Service"
"NDMC","NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023","28.5772318","77.1972385","CCS/ChADEMO/ Type 2 AC","142kW","Self Service"
"Noida Authority","Op. C&R Textiles Ltd, sector-60, Noida","28.6021486","77.3627249","DC-001","15 kW","Self Service"
"Noida Authority","Near Tata Advance Systems, sector- 59, Noida","28.6075627","77.3683319","DC-001","15 kW","Self Service"
"Noida Authority","In front of Marie gold exports ltd, A block, sector-64, Noida","28.611892","77.3762261","DC-001","15 kW","Self Service"
